Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1870,-0.01,0.19,0.24,0.8,0.57,-0.3,-0.59,-0.4,0.36,0.21,-0.3,0.14
1871,-0.22,-0.28,-0.02,-0.46,-0.85,-1.2,-0.42,-0.04,-0.54,-0.87,-1.44,-1.1
1872,-1.45,-1.03,-0.39,-0.64,-0.82,-1.0,-0.76,-0.9,-0.74,-0.94,-1.34,-1.34
1873,-2.06,-2.56,-2.92,-2.88,-1.73,-1.39,-1.45,-1.31,-1.32,-0.75,-0.73,0.32
1874,0.07,0.37,0.95,1.18,1.51,0.57,0.12,0.76,0.47,0.71,0.1,-0.31
1875,-1.41,-2.62,-2.05,-2.4,-2.24,-1.74,-0.65,-1.09,-0.6,-1.41,-2.38,-2.13
1876,-1.81,-1.29,-1.08,-0.94,-0.81,-0.88,-0.07,-0.37,0.16,0.34,0.83,0.92
1877,0.52,0.35,-0.38,-0.22,0.01,-0.58,-0.27,-0.71,-1.4,-1.97,-1.45,-0.99
1878,0.56,0.77,0.35,-0.02,0.28,0.87,0.81,0.85,0.87,1.11,2.08,2.44
1879,2.69,2.59,1.8,1.62,1.05,0.71,0.45,0.82,0.1,0.06,-0.19,-0.18
1880,-0.2,-0.63,0.53,1.19,1.27,0.94,0.95,0.77,0.76,0.56,0.21,-0.28
1881,-0.41,-0.22,-0.54,-0.3,-0.49,-0.56,-0.49,-0.18,0.03,-0.49,-0.52,-0.77
1882,-0.91,-1.16,-0.79,-0.51,0.48,0.39,0.11,-0.18,0.12,-0.04,0.22,0.76
1883,0.88,-0.35,-0.34,-0.39,-0.02,-0.11,0.43,0.21,-0.05,-0.18,-0.19,-0.4
1884,-1.09,-1.12,-0.98,-0.58,-0.59,0.11,-0.31,0.01,0.27,0.09,0.43,0.34
1885,-0.27,-0.23,-0.48,-0.46,-0.63,-0.32,-0.25,-0.49,-0.25,-0.03,-0.31,-0.01
1886,0.22,0.2,-0.67,-0.57,-0.54,0.05,-0.1,-0.54,-0.56,-0.73,-0.49,-0.24
1887,1.17,1.49,1.13,0.85,0.96,0.68,0.4,0.75,0.35,0.69,0.99,2.0
1888,2.46,2.3,2.4,1.83,1.34,1.99,1.35,0.96,0.3,0.61,0.34,-0.04
1889,-0.59,-0.25,0.35,0.5,-0.4,-0.13,-0.17,-0.19,-0.56,-0.2,-0.69,-1.02
1890,-1.78,-0.75,-0.11,0.08,0.26,0.13,0.23,0.63,0.49,0.57,0.22,-0.29
1891,-0.44,-0.04,0.72,0.72,0.91,0.16,0.98,0.82,0.43,-0.16,-0.04,-0.13
1892,0.22,-0.07,0.74,1.26,1.41,1.05,0.9,0.75,0.57,0.94,0.31,1.32
1893,1.42,1.81,1.21,1.46,1.04,0.56,-0.14,0.0,-0.26,-0.35,-0.27,-0.41
1894,-0.43,-0.52,0.05,-0.06,-0.03,-0.4,-0.53,0.15,-0.32,-0.67,-1.3,-1.45
1895,-1.19,-1.37,-1.31,-1.26,-1.15,-0.9,-0.4,-1.23,-0.83,-1.03,-0.76,-0.42
1896,-0.36,-0.95,-0.91,-0.79,-0.31,0.28,0.32,0.7,0.39,-0.0,0.05,-0.51
1897,-0.57,-0.69,-0.99,-1.3,-1.28,-1.3,-1.24,-0.94,-0.6,-0.7,-0.36,-0.19
1898,0.35,1.03,1.93,1.79,1.34,2.19,2.11,1.77,0.59,0.17,-0.06,-0.38
1899,-0.58,-0.92,-0.77,-0.42,-0.52,-0.98,-0.65,-0.7,0.02,0.38,0.32,0.53
1900,0.96,1.01,1.28,0.8,0.42,-0.62,-0.7,-0.37,-1.2,-0.9,-0.28,-1.19
1901,-1.06,0.34,0.4,-0.26,-0.39,-0.75,-0.42,-0.79,0.0,-0.12,0.49,0.59
1902,0.48,0.8,1.16,0.47,-0.32,0.25,-0.73,0.39,1.4,1.05,1.65,-0.18
1903,0.63,1.09,0.8,1.11,1.24,0.98,0.81,0.62,0.75,0.94,1.68,1.85
1904,1.63,1.24,1.34,1.22,0.27,0.04,0.79,0.73,1.29,1.63,1.26,1.02
1905,1.06,1.87,0.89,0.91,0.39,1.26,0.69,0.79,0.87,0.33,0.3,-0.13
1906,0.42,0.33,0.35,1.3,1.47,1.39,1.8,1.01,0.65,1.36,1.75,1.57
1907,2.01,1.44,0.3,0.91,0.54,1.14,0.89,-0.3,0.21,0.16,0.35,1.32
1908,2.09,2.12,1.61,1.45,1.23,1.6,1.7,1.11,0.27,0.25,1.79,0.91
1909,1.09,1.09,1.25,0.54,-0.66,-0.7,-0.2,0.19,0.79,0.19,0.37,0.82
1910,0.98,0.36,-0.18,-0.98,-0.88,-1.15,-1.46,-0.45,-0.19,0.41,1.27,1.25
1911,1.66,0.67,0.96,0.77,0.73,0.61,0.54,1.1,0.74,0.14,-0.36,-1.81
1912,-2.38,-0.72,-1.45,-1.62,-0.62,-0.88,-0.85,-1.33,-1.28,-0.78,-0.32,-0.64
1913,-1.62,-1.09,-1.57,-1.61,-2.15,-2.15,-1.59,-1.38,-0.99,-0.71,-0.97,-0.47
1914,-0.36,-0.42,-0.07,-0.19,0.16,0.7,0.02,-0.49,-0.01,0.15,0.14,0.05
1915,0.28,0.63,0.75,1.2,1.05,0.48,0.38,0.41,0.03,0.2,0.37,0.31
1916,-0.31,-0.74,0.12,0.5,1.02,0.56,0.65,0.04,-0.15,-0.05,0.19,0.51
1917,0.69,0.29,-0.23,0.45,0.74,0.58,0.23,0.04,-0.23,0.0,0.31,1.39
1918,1.61,1.89,0.78,0.91,0.55,0.65,1.14,1.59,0.97,-0.55,-0.9,-1.15
1919,-0.34,0.18,1.0,1.08,1.06,0.39,0.54,0.43,0.3,0.44,0.4,0.14
1920,-0.48,-0.97,-1.3,-1.29,-1.13,-0.75,-0.52,-0.46,-0.65,-0.75,-1.85,-1.95
1921,-1.61,-1.81,-1.7,-2.07,-2.0,-1.89,-1.77,-1.22,-1.54,-0.7,-0.29,0.18
1922,-0.08,0.28,-1.01,-0.39,-1.22,0.26,0.21,0.23,0.18,0.18,0.58,-0.31
1923,-0.14,0.66,0.45,0.3,0.37,0.39,-0.07,-0.68,-0.31,-0.46,-1.06,-1.34
1924,-2.77,-2.05,-1.4,-1.62,-0.94,-0.72,-1.16,-0.5,-0.07,-0.4,0.56,0.0
1925,-0.41,-0.48,-1.13,-1.18,-1.56,-1.13,-0.98,-1.29,0.18,0.22,-0.5,0.18
1926,-1.25,-1.23,-0.68,-1.43,-1.32,-0.88,-0.92,-1.29,-1.02,-0.34,-0.03,0.72
1927,0.74,0.47,-0.14,-0.06,0.51,-0.09,-0.19,-0.45,-0.31,-0.42,-0.3,-0.55
1928,0.61,0.04,-0.15,0.08,0.31,0.43,0.26,0.28,0.23,-0.59,-0.24,0.35
1929,0.27,-0.38,-0.12,-0.82,-0.05,0.33,0.77,0.69,0.93,1.47,-0.31,0.06
1930,0.37,1.51,0.99,-0.02,-0.27,0.34,0.53,0.01,0.31,0.34,0.46,-0.1
1931,0.28,-0.27,-1.35,0.39,0.29,0.69,0.95,0.94,0.64,0.64,1.47,-0.31
1932,1.14,0.9,1.74,1.38,0.5,1.16,1.43,1.26,2.12,2.13,0.57,-0.19
1933,-0.89,-0.38,-0.4,-0.14,-0.63,-0.13,-0.25,-0.02,0.5,0.18,0.86,-1.13
1934,-1.33,-0.13,-0.41,-0.65,-1.15,-1.93,-2.52,-1.9,-1.76,-1.13,-0.63,-1.6
1935,-1.26,-1.38,-1.13,-0.62,0.09,-0.54,-0.33,-0.0,-0.53,-0.85,-0.15,0.0
1936,-0.05,1.02,1.26,0.6,1.16,2.46,1.76,1.42,-0.12,0.49,-0.14,-0.11
1937,-1.01,-0.56,-1.11,-1.59,-1.75,0.03,0.32,-0.2,-0.08,-0.01,-0.42,-0.07
1938,-0.02,-0.5,-0.95,0.01,-0.63,-0.13,-0.65,-0.52,0.5,0.28,0.04,-0.01
1939,-0.05,0.22,-0.45,-0.31,-0.5,-2.1,-1.62,-0.94,-0.3,-0.18,-0.67,0.09
1940,-0.93,-0.91,-0.6,0.05,0.68,1.34,-0.47,-1.89,-0.33,1.03,0.38,0.35
1941,-0.01,-0.14,0.1,-0.6,-0.15,-0.49,-0.34,-0.01,-0.62,-0.85,-0.72,-0.97
1942,0.9,1.58,0.54,0.96,1.11,0.87,0.88,0.58,0.36,0.97,1.37,1.12
1943,1.09,1.13,0.95,1.37,0.37,-0.61,-0.38,-0.09,1.2,1.08,0.84,2.12
1944,1.41,-0.44,-0.61,-1.65,-2.12,-2.43,-2.72,-0.55,0.73,0.59,1.03,0.5
1945,0.11,-1.53,-1.57,-1.91,-0.26,-0.22,0.64,2.21,2.58,2.12,-0.19,0.24
1946,-0.27,-1.33,0.4,1.51,1.89,1.34,0.37,1.22,1.03,-0.03,-0.4,-0.7
1947,-0.74,0.07,-0.29,-0.52,-0.12,-0.71,-0.74,-1.0,-1.21,-0.73,-1.2,-0.5
1948,0.44,-0.73,-1.07,-0.43,0.1,1.13,0.59,0.71,0.25,0.58,0.55,-0.73
1949,-0.72,-1.23,-0.84,-1.19,-0.64,-1.15,-1.1,-1.12,-1.38,-0.75,-0.8,0.26
1950,-0.79,-1.42,-1.1,0.05,0.41,-0.14,-0.3,0.39,1.05,0.74,0.94,3.08
1951,3.49,2.25,3.03,1.82,1.01,0.71,0.4,-0.07,-0.36,-0.5,-0.01,-0.26
1952,-0.75,-0.45,0.24,-0.05,0.57,0.25,0.65,0.68,0.22,0.32,0.23,1.53
1953,1.18,1.01,-0.58,0.75,0.23,0.31,0.28,-0.36,-0.53,-0.59,0.28,0.99
1954,0.99,1.24,1.16,0.25,1.09,1.35,2.02,1.08,0.35,0.01,0.04,0.5
1955,1.52,1.93,1.34,1.37,0.45,1.05,1.09,1.41,0.95,0.66,1.01,1.97
1956,1.54,2.05,1.77,2.19,1.0,1.07,0.61,0.36,0.15,0.75,0.84,0.75
1957,0.03,-1.26,-0.65,-0.95,-0.37,-0.73,0.33,0.62,0.58,0.91,0.45,0.05
1958,0.7,1.49,2.13,2.18,3.28,3.22,1.29,1.43,1.07,0.64,0.39,-0.46
1959,-0.21,-0.7,-1.72,-1.43,-0.1,-0.19,-0.24,0.07,-0.2,-0.52,-0.05,-0.09
1960,0.35,0.46,-0.2,0.37,-0.02,0.29,-0.32,0.04,0.01,0.1,-0.51,-0.6
1961,-0.31,-0.31,-0.37,-0.02,-0.43,0.46,0.61,0.72,-0.68,-0.31,0.48,0.84
1962,0.27,-0.05,0.12,-0.32,-0.85,-1.0,-0.59,-0.83,-0.59,-0.8,0.05,0.59
1963,0.39,0.19,-1.2,-1.25,-1.78,-2.15,-2.1,-2.16,-1.93,-1.7,-2.29,-2.57
1964,-2.44,-1.35,-1.39,-0.86,-0.41,-0.34,-0.2,-0.21,0.9,1.49,0.94,1.35
1965,0.57,-0.44,-0.74,-0.83,-0.77,-0.42,0.47,0.07,-0.4,-0.03,0.32,0.62
1966,0.74,1.65,1.72,-0.11,-0.42,-1.68,-0.67,0.29,-0.09,-0.1,-0.39,-1.22
1967,0.04,-0.58,0.27,0.88,1.18,1.61,1.59,1.29,0.93,1.38,0.77,0.16
1968,0.04,0.83,1.13,-0.34,-0.54,-1.1,-1.83,-1.67,-2.08,-2.32,-2.14,-2.09
1969,-1.01,-1.18,0.02,-0.65,-0.19,-0.05,0.51,-0.57,0.11,-0.1,0.53,1.53
1970,1.46,1.25,1.04,0.88,0.78,0.58,0.16,0.59,0.14,0.45,0.44,0.67
1971,0.14,-0.02,-0.06,-0.22,-0.73,-0.45,-0.05,-0.12,-0.19,0.29,1.2,1.34
1972,-0.85,-0.83,-0.53,-1.05,-0.93,-0.88,-1.14,-1.25,-1.54,-1.42,-1.89,-3.8
1973,-3.3,-3.26,-2.78,-2.33,-2.43,-1.75,-1.81,-1.7,-2.06,-2.16,-1.96,-1.12
1974,-0.99,-0.48,-1.07,-2.17,-2.47,-2.41,-2.66,-2.18,-1.41,-0.39,-0.68,-0.44
1975,0.04,-0.52,-0.28,-0.17,-1.04,-1.47,-0.3,0.12,0.5,0.05,-0.48,1.17
